domain,prost,no_dist,kl
tamarisk,0.87,0.92,0.92
traffic,0.94,0.89,0.8
sysadmin,0.79,0.86,0.85
skill_teaching,0.88,0.83,0.78
navigation,0.0,0.12,0.81
triangle_tireworld,0.03,0.81,0.65
recon,0.76,0.34,0.24
elevators,0.92,0.93,0.87
academic_advising,0.65,0.67,0.8
crossing_traffic,0.36,0.78,0.81
wildfire,0.59,0.82,0.81
