domain,prost,no_dist,no_kl,kl_decay,kl,random
academic_advising_prob,0.37,0.9,0.94,0.97,0.95,0.0
navigation,0.94,0.69,0.95,0.97,0.97,0.0
stochastic_wall,0.7,0.3,0.3,0.69,0.51,0.0
corridor,0.0,0.56,0.58,0.72,0.7,0.0
recon,0.34,0.51,0.58,0.68,0.84,0.0
pizza_delivery_windy,0.09,0.23,0.69,0.63,0.49,0.0
